S.No,Company Name,Company profile,Country,Acquired Year,Acquired by
396,AppGyver,Provider of visual app development platform,Helsinki,2021,SAP
397,Signavio,Cloud-based business process management software,Berlin,2021,SAP
398,Askdata,AI-based platform for data access and insights,California,2022,SAP
399,Qualtrics,Platform for building surveys for feedback collection,Utah,2018,SAP
400,Emarsys,B2C marketing personalization platform,Vienna,2020,SAP
401,RecastAI,Platform for NLP/API integration in to Applications,Paris,2018,SAP
402,Contextor,Robotic process automation and desktop automation,Paris,2018,SAP
403,Plat.one,M2M and IoT device management and application development platform,California,2016,SAP
404,Altiscale,Hosted Hadoop as a service provider,California,2016,SAP
405,Gigya,Customer Identity Management Suite,California,2017,SAP
406,Coresystems,Field service management software,Windisch,2018,SAP
407,Abakus,Marketing Effectiveness evaluation and planning software,California,2016,SAP
408,Hybris,Customer experience software solutions provider,Illinois,2013,SAP
409,SeeWhy,Cloud-based remarketing solutions for businesses,Massachusetts,2014,SAP
410,Roambi,Mobile Software Productivity Suite,California,2016,SAP
411,CallidusCloud,"Cloud-based sales, marketing and pipeline management solutions",California,2018,SAP
412,Concur,SaaS-driven corporate travel expense & invoice management solution,Washington,2014,SAP
413,SuccessFactors,Cloud-based business execution software,California,2011,SAP
414,KXEN,"Predictive Analysis Company for customer lifecycle analytics, supply chain analytics and business intelligence",California,2013,SAP
415,Clear Standards,Energy Reporting software,Virginia,2009,SAP
416,Coghead,PaaS for building custom business applications,California,2009,SAP
417,Maxware,Identity management system and virutal directory,Trondheim,2007,SAP
418,Visiprise,Provider of MES Software,Georgia,2008,SAP
419,OutlookSoft,Business performance software solution provider,Connecticut,2007,SAP
420,Fieldglass,Vendor Management system,Illinois,2014,SAP
421,Virsa Systems,A security and controls company,Iowa,2006,SAP
422,Pilot Software,Strategy Management and business analytics solutions,California,2007,SAP
423,Triversity,Cloud-based POS and back-office management,Toronto,2007,SAP
424,SAP Ariba,"E-procurement, invoicing, and B2B collaboration software for businesses",California,2012,SAP
425,Lighthammer,Manufacturing Intelligence and collaboration software solution,Pennsylvania,2005,SAP
426,Highdeal,Real Time Billing Software for Telecom Companies,Paris,2009,SAP
427,TechniData,Product Safety and EHS software solution,Markdorf,2010,SAP
428,Camilion,Insurance policy and product management software,Markham,2013,SAP
429,SmartOps,Inventory optimisation and analytics softwares,Pennsylvania,2013,SAP
430,Business Objects,Business Intelligence suite,Levallois-perret,2007,SAP
431,Fedem,Provides digital twin platform for various industries,Trondheim,2016,SAP
432,Multiposting,Job posting technology,Paris,2015,SAP
433,Callixa,Enterprise Information Integration Software,California,2005,SAP
434,SAF,forecasting software,Tagerwilen,2009,SAP
435,SwoopTalent,Social Talent Sourcing,California,2021,SAP
436,Multiposting,Recruitment and sourcing solution,Paris,2015,SAP
437,Syclo,enterprise mobile app platform,Illinois,2012,SAP
438,Sybase,Relational Database enterprise software provider,California,2010,SAP
439,Datango,SaaS based enterprise training resource,Berlin,2012,SAP
440,KMS Software Company,On boarding software,California,2013,SAP
441,Oculus,Provider of VR-based head-mounted displays,California,2019,Adobe
442,Frame.io,Media collaboration solutions provider,New York,2021,Adobe
443,ContentCal,Platform offering software for social media and content management,London,2021,Adobe
444,Abstract,Provider of designer collaboration & feedback tools,California,2022,Adobe
445,Workfront,Cloud-based project management solution,Basingstoke,2020,Adobe
446,SaySpring,Design and Prototyping tool to create voice prototypes for Amazon Alexa and Google Home,New York,2018,Adobe
447,Magento,Provider of cloud-based and open source e-commerce software,California,2018,Adobe
448,Uru,Content-aware video advertising,New York,2018,Adobe
449,Livefyre,Community engagement tools through User Generated Content,California,2016,Adobe
450,Fotolia,Royalty-free stock photo marketplace platform,New York,2014,Adobe
451,Mixamo,Graphics tool provider for the game developers,California,2015,Adobe
452,Aviary,Photo-editing SDK provider,New York,2014,Adobe
453,Marketo,Provider of marketing automation platform for businesses,California,2018,Adobe
454,TubeMogul,Video Ad Buying Platform,California,2016,Adobe
455,Behance,Online platform for connecting with professionals from the media industry,New York,2012,Adobe
456,Neolane,Conversational Marketing Platform,Paris,2013,Adobe
457,Auditude,Video Advertising Platform,California,2011,Adobe
458,Typekit,Web store for fonts & typefaces,California,2011,Adobe
459,Demdex,Audience Management Platform.,New York,2011,Adobe
460,Omniture,Web analytics and online business optimization solutions for businesses,Utah,2009,Adobe
461,EchoSign,Electronic signature solutions and signature automation,California,2011,Adobe
462,Efficient Frontier,Online Advertising at Scale,California,2011,Adobe
463,Downstream Marketing,Digital Performance Agency,Sydney,2011,Adobe
464,Day Software,Java-based content repositories and enterprise focused Web Content Management software,Basel,2010,Adobe
465,Allegorithmic,3D painting and texturing Software,Clermont-ferrand,2019,Adobe
466,Q-Link Technologies,Limited information available,Florida,2004,Adobe
467,Ideacodes,Limited information available,California,2013,Adobe
468,PhoneGap,Open source development and deployment of Hybrid apps,Vancouver,2011,Adobe
469,IRIDAS,GPU-based color grading application,Munich,2011,Adobe
470,Franchise Solutions,Online platform for franchise investment data,New Hampshire,1999,Adobe
471,Syntel,"IT automation services, recursive, and intelligent automation using SyntBots",USA,2018,Atos
472,Marketics,Marketing solutions,Bangalore,2007,WNS Global
473,HealthHelp,Operates as a specialty benefits management company,Texas,2017,WNS Global
474,Value Edge,Business Research and Analytics firm,Noida,2016,WNS Global
475,Vuram,Provider of business management and UX design consulting services,Chennai,2022,WNS Global
476,Altran,High Tech Engineering Consultancy,Neuilly-sur-seine,2019,Capgemini
477,WhiteSky Labs,API Integration Services,Sydney,2020,Capgemini
478,Idean,Digital designing services provider,California,2017,Capgemini
479,LiquidHub,IT Consultancy & Services Company,Pennsylvania,2018,Capgemini
480,Purpose,Strategy consultancy services for social movements,New York,2020,Capgemini
481,iGate,iGATE is an integrated technology and operations (iTOPS) outsourcing solutions provider with global services delivery,New Jersey,2015,Capgemini
482,CPM Braxis,IT consulting and outsourcing company,Barueri,2010,Capgemini
483,Prosodie,Customer queires management software,Boulogne-billancourt,2011,Capgemini
484,June Twenty First,Provider of marketing services,Paris,2018,Capgemini
485,Annik Technology Services,Provider of IT services suite solutions,Washington,2018,Capgemini
486,KONEXUS Consulting Group,Provider of strategy and management consulting services,Hamburg,2019,Capgemini
487,Software Architects,software development firm,Illinois,2007,Capgemini
488,CS Consulting,Organisational and leadership consulting and training,Cologne,2010,Capgemini
489,RXP,Services related to software development and technical advisory for enterprises,Melbourne,2020,Capgemini
490,Skvader,Provider of IT services & BPO services,Florida,2010,Capgemini
491,BI Consulting Group,IT services provider,Minnesota,2011,Capgemini
492,Aive,Provider of IT consultancy and advisory,,2011,Capgemini
493,Kanbay International,Limited information available,Illinois,2006,Capgemini
494,"Vengroff, Williams & Associates",Order to Cash BPO solutions,California,2011,Capgemini
495,Acclimation,Provider of ERP services,Melbourne,2021,Capgemini
496,CS-CONSULTING,Limited information available,Eurasburg,2010,Capgemini
497,Rufus Leonard,Provider of branding services,London,2022,Capgemini
498,IBX,Provider of SaaS solutions purchasing platform,Stockholm,2010,Capgemini
499,Sophia,Provider of IT services suite,Prague,2008,Capgemini
500,Thesys Technologies,High-frequency trading technology provider to institutions,New York,2010,Capgemini
501,TCube Solutions,Provider of software development services,South Carolina,2017,Capgemini
502,Nu Solutions,Testing services provider,Ettalong Beach,2009,Capgemini
503,Oinio,Salesforce and Marketing Automation solutions and services,Unterschleissheim,2016,Capgemini
504,SSP Corporation,SAP based solutions to the E&P Oil and Gas industry,Texas,2014,Capgemini
505,Strategic Systems Solutions,Limited information available,Liverpool,2010,Capgemini
506,VariQ,Provider of IT services suite,Maryland,2021,Capgemini
507,Advectas,Provider of data analytics services,Stockholm,2020,Capgemini
508,Sark,Limited information available,,2007,Capgemini
509,Itelios,Provides e-commerce development services,Paris,2017,Capgemini
510,IBX Business Network,Cloud-based e-procurement suite,Bromma,2010,Capgemini
511,Beechwood,Provider of IT services suite solutions,,1999,Capgemini
512,Empired,IT Services provider,Perth,2021,Capgemini
513,Praxis,Provider of IT services suite,Mumbai,2011,Capgemini
514,Fahrenheit 212,Strategy and Design Firm,New York,2016,Capgemini
515,Euriware,Provider of system integration and consulting services,Guyancourt,2013,Capgemini
516,Chappuis Halder,"Provider of financial, cyber security, business development & transformation services",Paris,2022,Capgemini
517,Transiciel,Provider of IT services suite solutions,Boulogne-billancourt,2003,Capgemini
518,Plaisir Informatique,Competencies and data migration tools,Plaisir,2010,Capgemini
519,Lyons Consulting Group,Digital agency and e-commerce service provider,Illinois,2017,Capgemini
520,DOING,Provider of application development and digital marketing services,Rome,2018,Capgemini
521,Acme Packet,Network Equipment Manufacturer,Massachusetts,2013,Oracle
522,Convergin,Real time service brokering solutions for CSP.,Herzliya,2010,Oracle
523,Aconex,Cloud-based project management software for the construction industry,Melbourne,2017,Oracle
524,Conformia Software,Product/process lifecycle management software,California,2009,Oracle
525,Secerno,DB firewall solution for database security,Oxford,2010,Oracle
526,Datanomic,"Provides Data quality management, risk and compliance screening solution",Cambridge,2011,Oracle
527,Virtual Iron Software,Software for server virtualization & virtual infrastructure management,Massachusetts,2009,Oracle
528,Endeca,"Big Data Analytics, Web Commerce and BI Solutions",Massachusetts,2011,Oracle
529,Eloqua,Cloud based Marketing Automation and campaign performance analytics platform,California,2012,Oracle
530,SelectMinds,Employee referral and engagement tools,New York,2012,Oracle
531,AmberPoint,Cloud governance and management solutions provider,California,2010,Oracle
532,ClearApp,Application service management,California,2008,Oracle
533,Instantis,cloud-based and on-premise project portfolio management software,California,2012,Oracle
534,Bridgestream,Employee role management software provider,California,2007,Oracle
535,mValent,Configuration Managment,Massachusetts,2009,Oracle
536,LogicalApps,provides automated GRC controls management solutions,California,2007,Oracle
537,Metasolv Software,Service fulfillment solutions provider,Texas,2006,Oracle
538,Silver Creek Systems,Product Data mastering solutions,Colorado,2010,Oracle
539,Taleo,Cloud-based Talent Intelligence solutions,Ohio,2012,Oracle
540,GoAhead Tours,Tour operator offering guided tours,Massachusetts,2011,Oracle
541,Oblix,SSO based integrated IAM solution,California,2005,Oracle
542,Front Porch Digital,Digital content storage management solution provider,Colorado,2014,Oracle
543,Tacit Software,Collaboration and knowledge management software,California,2008,Oracle
544,HotSip AB,Communications infrastructure software,Stockholm,2006,Oracle
545,HyperRoll,Data integration solution,California,2009,Oracle
546,Context Media,Limited information available,Thor Technologies,2005,Oracle
547,Thor Technologies,Identity management and provisioning solution,New York,2005,Oracle
548,Thor Technologies,Provides Identity and Access Management Solution,New York,2005,Oracle
549,BEA Systems,Enterprise Infrastructure and Applicaiton provider,California,2008,Oracle
550,Cornerstone Retail Solutions,Developer of retail management software,Texas,2006,Oracle
551,InQuira,Cloud-based platform for knowledge management,California,2011,Oracle
552,Demantra,Demand management and Sales & Operations planning solution,Massachusetts,2006,Oracle
553,G-Log,Provider of transport management solutions,Connecticut,2005,Oracle
554,Passlogix,Enterprise SSO solution for IAM,New York,2010,Oracle
555,ProfitLogic,Platform offering retail inventory and price optimization solutions,Massachusetts,2005,Oracle
556,Filefish,Online platform for document management,California,2003,Oracle
557,Lodestar Corporation,"Meter data management , pricing and billing software",Massachusetts,2007,Oracle
558,RightNow Technologies,Cloud-based customer experience software suite,Montana,2011,Oracle
559,Siebel Systems,CRM Solution,California,2005,Oracle
560,Agile Software,Suite of PLM software products,California,2007,Oracle
561,Hyperion,Business Intelligence suite,California,2007,Oracle
562,Peoplesoft,Business management solutions,California,2004,Oracle
563,Stellent,Cloud infrastructure management solutions provider,Minnesota,2006,Oracle
564,Sunopsis,Provider of data integration solution,Massachusetts,2006,Oracle
565,Phaos Security,Identity management security software,New York,2004,Oracle
566,Active Reasoning,Automation software for information technology policy enforcement,California,2007,Oracle
567,RuleBurst Holdings,Business rule management software,Chatswood,2008,Oracle
568,Sauce,Online platform for collaborative video creation,London,2020,Oracle
569,GloriaFood,Solutions for online food ordering for restaurants businesses,Bucharest,2021,Oracle
570,Ndevr,Provider of ERP and managed cloud services,Melbourne,2011,Oracle
571,Tekelec,IP and Data management company.,North Carolina,2013,Oracle
572,Innobase Oy,Developer of InnoDB - Open Source Database Technology,Helsinki,2005,Oracle
573,Steltor,Provider of enterprise calendaring software system,Saint John,2002,Oracle
574,Sunopsis,Data Integration,Lyon,2006,Oracle
575,Advanced Visual Tech,Provides application development services,Arizona,2008,Oracle
576,Relsys,Provider of drug safety and pharmacovigilance solutions,California,2009,Oracle
577,Sun Microsystems,OpenStack cloud computing platform,California,2009,Oracle
578,Sophoi,IP Management,California,2009,Oracle
579,Micros,Cloud-based POS software and EIS systems for retail & hospitality,Maryland,2014,Oracle
580,CloudMonkey,OpenSource Automated Mobile Testing tool,Colorado,2015,Oracle
581,Sleepycat software,Open Source key value database,Illinois,2006,Oracle
582,Interlace Systems,Financial Planning and analytics,California,2007,Oracle
583,Netsure Telecom,"Network Intelligence, Analytics and Integrity Software for Communication Providers",Sao Paulo,2007,Oracle
584,Net4call,Parlay/OSA service delivery components for telecom industry,Oslo,2006,Oracle
585,Responsys,Cloud based cross-channel marketing automation solution,California,2013,Oracle
586,Retek,Suite of software solutions for retail industry,Minnesota,2005,Oracle
587,Tangosol,Real-Time In-Memory Data Grid,Massachusetts,2007,Oracle
588,Pillar Data,SAN Block I/O storage Systems,California,2011,Oracle
589,Global Knowledge Software,Self-service training automation software,Pennsylvania,2008,Oracle
590,taleo.net,Provider of cloud services,California,2012,Oracle
591,ClearTrial,Clinical Trial Operations Software,Illinois,2012,Oracle
592,TimesTen,AI-based in-memory database software solution provider,California,2005,Oracle
593,Skire,Cloud-based project management software provider,California,2012,Oracle
594,DataRaker,"Web-based analytics solutions for electric, water, and gas utilities.",California,2012,Oracle
595,Corente,Cloud Network Services - WAN and Gateways,New Jersey,2014,Oracle
596,Phase Forward,Data collection and data management solutions for clinical trials and drug safety.,Massachusetts,2010,Oracle
597,market2lead,Demand generation and marketing automation software,California,2010,Oracle
598,G-Log,Transporation management software,Pennsylvania,2005,Oracle
599,Bharosa,Authentication based online identity theft and fraud prevention,California,2007,Oracle
600,Skywire Software,Document management software for Insurance industry,Texas,2008,Oracle
601,siteworkssolutions.com,Provider of software for clinical trial management,,2004,Oracle
602,Portal Software,Billing and Revenue Management Solutions for Communications and Media,California,2006,Oracle
603,TempoSoft,Web based workforce management solutions,Paris,2005,Oracle
604,Octetstring,Directory virtualization platform,Illinois,2005,Oracle
605,Art Technology Group,Integrated Suite providing CRM and eCommerce Software Applications,Massachusetts,2010,Oracle
606,TripleHop Technologies,Context-Sensitive Enterprise Search,New York,2005,Oracle
607,LiveLOOK,Real time Visual Collaboration Solutions,New Jersey,2014,Oracle
608,Iridize,"Onboarding guides, training solutions and rules based targeting",Tel Aviv,2018,Oracle
609,SparklineData,Platform to automate the process of analytics,California,2018,Oracle
610,Vocado,Limited information available,California,2018,Oracle
611,Adi Insights,"Employee scheduling, time tracking and performance metrics monitoring solution",USA,2022,Oracle
612,Cerner,Online platform for employee health benefits,USA,2021,Oracle
613,FatWire,Cross Channel Customer Engagement platform,USA,2011,Oracle
614,DataFox,Data platform for prospect sales leads,USA,2018,Oracle
615,Talari,Creating WAN by aggregation of private connections,USA,2018,Oracle
616,Zenedge,Enterprise grade WAF and DDoS mitigation platform,USA,2018,Oracle
617,Dyn,DNS and Network Monitoring Solutions,UK,2016,Oracle
618,Moat,Ad analytics for real time optimization,USA,2017,Oracle
619,Grapeshot,Keyword targeting & analytics solution provider,UK,2018,Oracle
620,Wercker,Docker-native CI/CD automation platform,Netherlands,2017,Oracle
621,DataScience,BI Customer lifetime value,USA,2018,Oracle
622,Crosswise,Cross-device identification mapping,Israel,2016,Oracle
623,Apiary,"Platform for API Design, Development and Documentation",USA,2017,Oracle
624,StackEngine,"Docker Operations, Management, & Automation",USA,2015,Oracle
625,NetSuite,Cloud based platform offering ERP software for businesses,USA,2016,Oracle
626,Palerra,Behavioral analytics based cloud security automation for risk management,USA,2016,Oracle
627,Ravello Systems,Cloud Application Hypervisor,Israel,2016,Oracle
628,goBalto,Cloud-based SaaS product for study startup,USA,2018,Oracle
629,CrowdTwist,Customer loyalty and analytics,USA,2019,Oracle
630,LogFire,Cloud based Inventory and Warehouse Management Systems,USA,2016,Oracle
631,Datalogix,Aggregator of offline purchasing data,USA,2014,Oracle
632,Opower,"Offering customer engagement, demand response management and home energy management platform",USA,2016,Oracle
633,TOA Technologies,Field Service Management Software,USA,2014,Oracle
634,GreenBytes,Platform offering desktop virtualization solution,USA,2014,Oracle
635,Maxymiser,"A/B, Multivariate testing platform",USA,2015,Oracle
636,BlueKai,Data management platform and third-party data marketplace,USA,2014,Oracle
637,Textura,Project life cycle management for Construction.,USA,2016,Oracle
638,Bitzer Mobile,Provider of infrastructure software for enterprises to use on-premise or as part of cloud computing environments,USA,2013,Oracle
639,Compendium,Content marketing platform for businesses,USA,2013,Oracle
640,Nor1,AI-enabled upselling solution for the hospitality industry,USA,2020,Oracle
641,Nirvanix,Enterprise Cloud Storage Company,USA,2013,Oracle
642,Collective Intellect,Social Media Monitoring platform,USA,2012,Oracle
643,AddThis,Behavioral audience data and marketing platform,USA,2016,Oracle
644,Vitrue,Social media presence and relationship management platform,USA,2012,Oracle
645,Xsigo,I/O Virtualization Infrastructure,USA,2012,Oracle
646,Ksplice,Zero Downtime update technology for Linux,USA,2011,Oracle
647,Involver,Social Media Marketing and Campaign Marketing Platform,USA,2012,Oracle
648,Nimbula,"Cloud OS startup, acquired by Oracle",USA,2013,Oracle
649,EagleDream Technologies,IT services & solutions provider,New York,2020,PWC
650,ISH,Limited information available,New Jersey,2011,PWC
651,Avaleris,Provider of managed security services,Ottawa,2021,PWC
652,Optimisa Research,Provider of market research and insights services,London,2017,PWC
653,Outbox,Provider of IT consulting services,Warsaw,2016,PWC
654,Entology,Limited information available,New Jersey,2008,PWC
655,cDecisions,Provider of IT consulting services,Bournemouth,2017,PWC
656,Rickards,Provider of business consulting and media auditing services,London,2016,PWC
657,Tyconz,"Services for the implementation, support and advisory for SAP products",Doha,2020,PWC
658,HLP Consulting,Limited information available,Colorado,2016,PWC
659,Cinovate,Salesforce consulting and implementation services,Richmond Hill,2015,PWC
660,Eilersconsulting,Tech-enabled platform offering supply chain solutions,Dusseldorf,2022,PWC
661,ACTS,"Provider of cloud, DevOps, system integrator & managed services",Florida,2022,PWC
662,Kusiri,Diversified regulatory solutions,London,2015,PWC
663,ABSI,Provider of a range of consulting services,Brussels,2019,PWC
664,Agilitude,Re-seller of hardware and software products,Midrand,2017,PWC
665,ID-Consult,Provider of software development services for manufacturing companies,Munich,2022,PWC
666,Advanced Pharmacy Concepts,Limited information available,Rhode Island,2014,PWC
667,BGT Partners,Digital and interactive marketing firm,Florida,2013,PWC
668,Ray Group International,"Provider of risk management, compliance and management consulting services",Florida,2012,PWC
669,Rcamalta,Provider of training services for financial and IT professionals,Pieta,2017,PWC
670,Pollen8,Provider of business consultancy services,Southampton,2022,PWC
671,Terbium Labs,Deep web monitoring & indexing based enterprise data breach discovery,Maryland,2021,Deloitte
672,Magnetic,Search retargeting platform,New York,2018,Deloitte
673,Trufa,Predictive Performance Company,Heidelberg,2018,Deloitte
674,Day1 Solutions,AWS cloud solutions provider,Virginia,2017,Deloitte
675,Blab,Predictive Social Intelligence platform,Washington,2017,Deloitte
676,Kneebone,Cross Marketing Performance Technology,Toronto,2013,Deloitte
677,Oco,SaaS-based business intelligence and data analytic solutions,Massachusetts,2011,Deloitte
678,Recombinant Data,Suite of healthcare data warehousing and clinical analytics solutions for healthcare providers,Massachusetts,2012,Deloitte
679,dcarbon8,Carbon management and sustainability consultancy,London,2010,Deloitte
680,Dataperformers,"Provider of accounting, auditing, tax, legal, consulting and financial services",Montreal,2021,Deloitte
681,HashedIn,Provider of IT service suite solutions,Bangalore,2020,Deloitte
682,Nubik,Provider of sales-force development and financial management services,Montreal,2022,Deloitte
683,Zimbani,Provides a range of cyber security services,Melbourne,2020,Deloitte
684,Soda Strategic,Provider of application development and digital marketing services for dental healthcare providers,Canberra,2021,Deloitte
685,Synergence,Strategy consulting firm for sustainable development,Paris,2015,Deloitte
686,QSpace,Limited information available,Pennsylvania,2018,Deloitte
687,CloudQuest,Continuous security control and monitoring platform for cloud,California,2021,Deloitte
688,Kaisen Consulting,Boutique leadership consultancy of business psychologists,Bristol,2015,Deloitte
689,JKVine,Limited information available,Melbourne,2017,Deloitte
690,KID NEON IMAGES,Provider of virtual tour services,Collingwood,2016,Deloitte
691,Intellify,Provider of AI services,Sydney,2022,Deloitte
692,API Talent,AWS consulting services,Wellington,2018,Deloitte
693,Cloudtrek,Provider of cloud services,California,2018,Deloitte
694,Ekulus,"Services related to cloud implementation, data integration and application development",Melbourne,2020,Deloitte
695,Clear Carbon,Manufacturer of carbon components,Bristol,2010,Deloitte
696,Spatial Access,Provides advisory services for marketing and media businesses,Mumbai,2020,Deloitte
697,BIAS,Provider of IT consultancy and advisory services,Georgia,2021,Deloitte
698,DNM Group,"Provider of cloud, data analytics and managed IT services",Dublin,2020,Deloitte
699,Conduit Law,Provider of managed legal services,Toronto,2016,Deloitte
700,Compliance Implementation Services,Compliance and revenue optimization consulting firm for the life sciences and healthcare industry,New York,2015,Deloitte
701,Fusion Labs,Business development consulting firm,Sydney,2021,Deloitte
702,Nesoi Solutions,Limited information available,,2017,Deloitte
703,Stitch,Provider of employee engagement services,Bristol,2019,Deloitte
704,cinderagency.com.au,Limited information available,Sydney,2016,Deloitte
705,Visser Deloitte,Consultation services for the upstream oil and gas industry,Calgary,2014,Deloitte
706,Global IO,Provider of strategy consulting services,Perth,2020,Deloitte
707,Jet Financial,Financial analysis & reporting solutions for businesses,Sydney,2018,Deloitte
708,Kemp Little,"Law firm specialized in technology, digital media and communications industries",London,2020,Deloitte
709,Übermind,Software Development & Consulting,Washington,2012,Deloitte
710,Frontier Advisory,"Research, strategy, and investment advisory firm",Johannesburg,2015,Deloitte
711,The Explainers,Limited information available,Sydney,2016,Deloitte
712,monitor.com,Limited information available,New York,2013,Deloitte
713,Cahill Taxation Services,"Provider of accounting, tax, auditing and retirement services",Ennis,2022,Deloitte
714,Sixtree,Limited information available,Melbourne,2016,Deloitte
715,ReportSource,Limited information available,London,2010,Deloitte
716,Integrity-Paahi Solutions,"Managed Security Services, Consulting, and Risk and Compliance.",Vancouver,2016,Deloitte
717,CRG Partners,Limited information available,California,2012,Deloitte
718,Web Decisions,Customer data management platform,North Carolina,2017,Deloitte
719,Magia,Provider of digital marketing and IT suite services,Perth,2021,Deloitte
720,ATADATA Solutions,On-premise movement from physical servers to virtual or to cloud.,Georgia,2018,Deloitte
721,LICETUS,Provider of management consulting services,Leipheim,2015,Deloitte
722,Oxala Consulting,Limited information available,Paris,2018,Deloitte
723,Asset Performance Group,Asset reliability consultancy,Burlington,2015,Deloitte
724,Strut Digital,Services related to the migration of data centers to the cloud,Edgecliff,2017,Deloitte
725,Aggressor,Limited information available,California,2012,Deloitte
726,Casey Quirk,Provider of business management consulting services,Connecticut,2016,Deloitte
727,Bistech,Provider of managed IT and cloud services,Brisbane,2020,Deloitte
728,Thomson Reuters Recap,Data-driven analysis and advice for biopharmaceutical business development,Connecticut,2008,Deloitte
729,Sentek Global,"IT security, program management and consulting services",California,2021,Deloitte
730,Groundswell Group,"Provider of risk, audit, tax and financial advisory services",Calgary,2021,Deloitte
731,NeoData,"Provider of business intelligence, data management, digital transformation, and IT suite services",Melbourne,2019,Deloitte
732,Etain,Provides application development services,Belfast,2022,Deloitte
733,CloudTrek,"Provider of storage, virtual infrastructure, and IT development services",Brisbane,2018,Deloitte
734,Emeritis,Provider of HR consulting services,Berchem,2019,Deloitte
735,Well Placed Cactus,Limited information available,Brisbane,2017,Deloitte
736,Blue Spurs,Services related to application development and,Fredericton,2019,Deloitte
737,Clockwork,"Provider of industry-leading audit, consulting, tax, and advisory services",North York,2021,Deloitte
738,innoWake,Limited information available,Texas,2017,Deloitte
739,Intrasphere,Limited information available,New York,2011,Deloitte
740,Cannabis Compliance,Provider of business consulting services catering to Cannabis sector,Mississauga,2019,Deloitte
741,Tytho,Tax Automation and consulting,Rotterdam,2018,Deloitte
742,Acne,"Offers designing, branding, film production, photography, and marketing services",Stockholm,2017,Deloitte
743,System Dynamics,Limited information available,Dublin,2015,Deloitte
744,Syncronic,Provider of management & business consulting services,Brondby Strand,2021,Deloitte
745,Red Planet,Limited information available,Dublin,2017,Deloitte
746,Solbourne,Limited information available,Colorado,2008,Deloitte
747,ClearViewIP,"Intellectual Property strategy, management & transaction services company",Winchester,2019,Deloitte
748,The Terrace Initiative,Limited information available,Sydney,2019,Deloitte
749,Ouest Business Solutions,Provider of ERP software development services,Vancouver,2021,Deloitte
750,Entrago,Digital clinical task management tool for providers,Fortitude Valley,2022,Deloitte
751,GMK,Provider of personal loan and financial advisory services,Melbourne,2015,Deloitte
752,Mexia,Limited information available,Melbourne,2018,Deloitte
753,IE Discovery,Limited information available,Texas,2012,Deloitte
754,root9B,"Vulnerability assessment, consulting and training solution",Colorado,2021,Deloitte
755,Striven Consulting,"Provider of consulting, financial & risk advisory, and tax services",Kelowna,2022,Deloitte
756,Odysseus,Provider of implementing portfolio management services,Amsterdam,2021,Deloitte
757,Regester Larkin,Limited information available,London,2016,Deloitte
758,NTC,"Provider of media technology consulting, design, and systems integration services",California,2022,Deloitte
759,ClearCarbon,Limited information available,Virginia,2010,Deloitte
760,Accelteam,Provider of business intelligence services,Kuala Lumpur,2020,Deloitte
761,Herve Schauer Consultants,Information Security consulting services,Neuilly-sur-seine,2014,Deloitte
762,I-Analysis,Limited information available,Singapore,2016,Deloitte
763,SecurePath,"Provides IT governance, risk & compliance solutions",Kuala Lumpur,2020,Deloitte
764,Focus IT,Provider of ERP consulting services,Makati,2021,Deloitte
765,Rice Warner,Provider of investment consulting and actuarial services,Sydney,2021,Deloitte
766,Dataweave,Provider of IT service suite solutions,Sydney,2015,Deloitte
767,Plenary Networks,Limited information available,Melbourne,2016,Deloitte
768,GLO Integration,"Provider of accounting, auditing, tax & financial advisory services",Amsterdam,2022,Deloitte
769,Qspace,"Architectural research organisation offering exhibitions, publications, digital archiving, and design guidelines",New York,2018,Deloitte
770,Bersin,HR research and consulting,California,2013,Deloitte
771,Market Gravity,Provider of proposition design consulting and prototype & application development services,London,2017,Deloitte
772,Presence of IT,Provider of consulting management services,Melbourne,2019,Deloitte
773,TransientX,Cloud-based zero-trust network access control solutions provider,New Jersey,2021,Deloitte
774,Vmware,Platform offering network virtualization software,USA,2022,Broadcom
775,Mode,"SD-WAN, UC and Ultra Low Latency optimizing solution",California,2020,Vmware
776,Datrium,IO processing & active data converging storage devices provider,California,2020,Vmware
777,Avi Networks,Application Delivery Controller and WAF for on-premise and cloud applications,California,2019,Vmware
778,Bitfusion,Provider of a cloud-based platform to test and optimize AI and ML models,Texas,2019,Vmware
779,SaltStack,Cloud infrastructure orchestration and management platform,Utah,2020,Vmware
780,Nyansa,Network analytics service based on full-stack user experience,California,2020,Vmware
781,Heptio,Offers products built around Kubernetes,Washington,2018,Vmware
782,Lastline,Network-based malware detection & IoC profiling platform,California,2020,Vmware
783,CloudHealth Tech,Provider of cloud management and analytics solutions,Massachusetts,2018,Vmware
784,VeloCloud,Cloud-based SD-WAN management software provider,California,2017,Vmware
785,Wavefront,Cloud based real time analytics platform for data center infrastructure,California,2017,Vmware
786,E8 Security,Network traffic analytics and threat detection solutions,California,2018,Vmware
787,CloudCoreo,DevOps Platform as a service,Texas,2018,Vmware
788,Veriflow,Breach and network outage prevention,California,2019,Vmware
789,Pivotal Software,Enterprise platform as a service,California,2019,Vmware
790,Carbon Black,Cloud endpoint protection platform,Texas,2019,Vmware
791,Intrinsic,Stealth Mode: Server side web application security,California,2019,Vmware
792,Arkin,IT operations monitoring for data centers,California,2016,Vmware
793,CloudVelox,Hybrid cloud automation platform,California,2018,Vmware
